2024,1,1,8,0,-10
2024,1,10,9,30,-10
2024,2,10,8,0,-15
2024,3,5,8,30,-2
2024,1,10,9,30,-10
2024,12,3,9,0,-5
2025,1,1,8,0,-10
2025,2,10,8,0,-15
2025,3,5,8,30,-2
2025,3,6,8,0,5
2025,3,12,8,20,7
2025,4,2,7,50,5
2025,5,1,8,10,10
2025,6,1,8,0,13
2025,7,1,8,0,13
2025,8,1,8,0,16
2025,9,1,8,0,13
2025,11,12,14,23,-1
2026,1,10,9,0,-11
2026,1,10,9,30,-10
2026,1,10,9,30,-10
2024,1,1,8,0,-10
2024,2,10,8,0,-15
2024,3,5,8,30,-2
2024,3,6,8,0,5
2024,3,12,8,20,7
2024,4,2,7,50,5
2024,5,1,8,10,10
2024,6,1,8,0,13
2024,7,1,8,0,13
2024,8,1,8,0,16
2024,9,1,8,0,13
2024,11,12,14,23,-1
